row_type,dataset_type,meeting_id,meetings_in_benchmark,meetings_with_retained_alignment,retained_fraction,total_aligned,single_aligned,need_review,total_output,aligned_rate,single_aligned_rate,need_review_rate,reviewed_single_total,reviewed_single_kept_or_modified,reviewed_single_dropped,reviewed_uncertain_total,reviewed_uncertain_merged,reviewed_uncertain_excluded,note
meeting_detail,city_council,t_10062873984778850834470432363897468907,,,,23,18,7,48,0.479,0.375,0.146,13,12,1,7,6,1,confidence=high
meeting_detail,city_council,t_106635199576481410273141760874457477490,,,,29,4,6,36,0.806,0.111,0.167,4,4,0,6,5,0,confidence=high
meeting_detail,city_council,t_108288233306293829791253295282411673750,,,,15,8,2,25,0.600,0.320,0.080,8,8,0,2,0,0,confidence=high
meeting_detail,city_council,t_1104047888607550073732755348065275078,,,,9,20,0,29,0.310,0.690,0.000,18,18,0,,,,confidence=high
meeting_detail,city_council,t_124340835051287880658095515520861195229,,,,5,2,1,7,0.714,0.286,0.143,2,2,0,1,0,0,confidence=high
meeting_detail,city_council,t_127444281169671611279108560503033494207,,,,16,12,22,50,0.320,0.240,0.440,10,10,0,21,20,1,confidence=medium
meeting_detail,city_council,t_138875998642370285081837761644930976049,,,,17,4,5,26,0.654,0.154,0.192,4,4,0,5,5,0,confidence=high
meeting_detail,city_council,t_153646994727591924137215190422748124328,,,,10,6,4,16,0.625,0.375,0.250,6,6,0,3,2,0,confidence=high
meeting_detail,city_council,t_161550297287408498554053498832287176705,,,,17,7,1,25,0.680,0.280,0.040,6,6,0,1,0,0,confidence=high
meeting_detail,city_council,t_180256091084934261719910160327606052614,,,,19,22,7,48,0.396,0.458,0.146,16,15,0,7,5,2,confidence=medium
meeting_detail,city_council,t_196638895769607976636461928328929069252,,,,13,16,1,30,0.433,0.533,0.033,13,13,0,1,1,0,confidence=high
meeting_detail,city_council,t_203623473349312317087775122627143579269,,,,15,16,1,31,0.484,0.516,0.032,16,16,0,1,0,0,confidence=high
meeting_detail,city_council,t_206760998982614878184623504038248857164,,,,15,11,2,28,0.536,0.393,0.071,11,11,0,2,2,0,confidence=high
meeting_detail,city_council,t_227123168473691094147595939364167917256,,,,17,11,7,35,0.486,0.314,0.200,10,10,0,6,6,0,confidence=medium
meeting_detail,city_council,t_232276779192679881902870871011229238381,,,,17,10,0,27,0.630,0.370,0.000,10,10,0,,,,confidence=high
meeting_detail,city_council,t_232380390825704564563450343709460551188,,,,21,17,0,38,0.553,0.447,0.000,12,12,0,,,,confidence=high
meeting_detail,city_council,t_232381829133992943343826921609078516359,,,,16,4,1,21,0.762,0.190,0.048,4,4,0,1,0,0,confidence=high
meeting_detail,city_council,t_234540230487145439343255414917349168194,,,,21,19,10,50,0.420,0.380,0.200,13,13,0,10,9,1,confidence=medium
meeting_detail,city_council,t_24637292956148471653258107326847519677,,,,10,1,0,11,0.909,0.091,0.000,1,1,0,,,,confidence=high
meeting_detail,city_council,t_248142763499862397328970003316117925955,,,,14,13,3,27,0.519,0.481,0.111,10,10,0,3,2,1,confidence=high
meeting_detail,city_council,t_258810779752442698698651215247285387144,,,,22,22,7,51,0.431,0.431,0.137,20,20,0,7,4,0,confidence=high
meeting_detail,city_council,t_270737199556905365224480426786176969466,,,,24,19,1,44,0.545,0.432,0.023,15,15,0,1,1,0,confidence=high
meeting_detail,city_council,t_295418528221287250041921315123836423951,,,,28,16,2,44,0.636,0.364,0.045,16,16,0,2,2,0,confidence=high
meeting_detail,city_council,t_302231191468361059160146080188341481527,,,,22,21,5,48,0.458,0.438,0.104,22,22,0,5,4,1,confidence=high
meeting_detail,city_council,t_309367437911403195908081074540947829369,,,,7,6,4,17,0.412,0.353,0.235,5,5,0,4,1,1,confidence=medium
meeting_detail,city_council,t_319298185206145240523087481740297068110,,,,8,9,3,20,0.400,0.450,0.150,10,10,0,3,1,2,confidence=high
meeting_detail,city_council,t_319721751720091446506953863822689932873,,,,9,9,7,25,0.360,0.360,0.280,8,8,0,6,3,2,confidence=medium
meeting_detail,city_council,t_320511298686560210701155163868323612054,,,,20,19,9,48,0.417,0.396,0.188,19,19,0,9,6,3,confidence=medium
meeting_detail,city_council,t_325592405081130796321082217307291061850,,,,21,27,0,48,0.438,0.562,0.000,10,10,0,,,,confidence=high
meeting_detail,city_council,t_51002772535039007152119452769145788156,,,,8,6,3,17,0.471,0.353,0.176,6,6,0,3,1,0,confidence=high
meeting_detail,city_council,t_73432580758343526481036314189906149471,,,,3,3,1,7,0.429,0.429,0.143,3,3,0,1,0,0,confidence=high
meeting_detail,city_council,t_77969873731330595433843703212771096329,,,,16,20,4,40,0.400,0.500,0.100,15,11,5,3,1,1,confidence=high
meeting_detail,city_council,t_83080186118896375733521857914163589641,,,,19,16,1,36,0.528,0.444,0.028,12,12,0,1,1,0,confidence=high
meeting_detail,city_council,t_85889445716932507123321064915811827639,,,,15,46,1,62,0.242,0.742,0.016,44,44,0,1,0,1,confidence=high
dataset_summary,city_council,,34,34,1.000,15.91,13.53,3.76,32.79,0.514,0.390,0.115,11.53,11.35,0.18,4.24,3.03,0.59,summary_over_retained_alignment_subset
meeting_detail,private_data,t_001,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_002,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_003,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_004,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_005,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_006,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_007,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_008,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_009,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_010,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_011,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_012,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_013,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,private_data,t_014,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_015,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_016,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_017,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_017_r,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_018,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_019,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_020,,,,,,,,,,,,,,,,,temp_dir_present_but_alignment_missing
meeting_detail,private_data,t_021,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
dataset_summary,private_data,,22,0,0.000,,,,,,,,,,,,,,summary_over_retained_alignment_subset
meeting_detail,whitehouse_press_briefings,whpb_20210120_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20210126_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20210208_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20210217_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20210224_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20210308_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20210415_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20210422_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20210521_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230123_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230125_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230320_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230327_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230329_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230425_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230427_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230520_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230528_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230531_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230601_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230606_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230613_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230619_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230711_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230718_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230720_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230727_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230922_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20230925_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231008_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231010_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231109_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231112_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231114_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231116_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231127_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231130_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231204_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231215_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231218_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231219_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231220_press_2,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231220_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231221_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20231222_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240103_press_2,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240103_press_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240104_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240108_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240109_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240110_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240111_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240111_press_2_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240112_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240112_press_2_d,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240116_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240117_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
meeting_detail,whitehouse_press_briefings,whpb_20240118_press,,,,,,,,,,,,,,,,,no_retained_temp_artifacts
dataset_summary,whitehouse_press_briefings,,58,0,0.000,,,,,,,,,,,,,,summary_over_retained_alignment_subset
