row_type,dataset_type,aggregation_mode,judge_name,candidate_model,meeting_count,accuracy_avg,completeness_avg,coverage_avg,mean_of_3,accuracy_delta_vs_two_judge,completeness_delta_vs_two_judge,coverage_delta_vs_two_judge,winner_accuracy,winner_completeness,winner_coverage,winner_mean_of_3,note
model_summary,city_council,single_judge,anthropic.claude-sonnet-4-20250514-v1:0,gpt-41-mini,34,0.714,0.789,0.792,0.765,+0.011,+0.014,+0.017,,,,,
model_summary,city_council,single_judge,anthropic.claude-sonnet-4-20250514-v1:0,gpt-5-mini,33,0.748,0.820,0.870,0.813,+0.039,+0.000,+0.010,,,,,
model_summary,city_council,single_judge,anthropic.claude-sonnet-4-20250514-v1:0,gpt-51,33,0.722,0.861,0.901,0.828,+0.034,-0.017,+0.005,,,,,
model_summary,city_council,single_judge,gpt-5-2025-08-07,gpt-41-mini,34,0.693,0.761,0.758,0.737,-0.010,-0.014,-0.017,,,,,
model_summary,city_council,single_judge,gpt-5-2025-08-07,gpt-5-mini,33,0.670,0.820,0.851,0.780,-0.039,+0.000,-0.009,,,,,
model_summary,city_council,single_judge,gpt-5-2025-08-07,gpt-51,33,0.653,0.896,0.891,0.813,-0.035,+0.018,-0.005,,,,,
model_summary,city_council,two_judge_avg,two_judge_avg,gpt-41-mini,34,0.703,0.775,0.775,0.751,,,,,,,,
model_summary,city_council,two_judge_avg,two_judge_avg,gpt-5-mini,33,0.709,0.820,0.860,0.796,,,,,,,,
model_summary,city_council,two_judge_avg,two_judge_avg,gpt-51,33,0.688,0.878,0.896,0.821,,,,,,,,
model_summary,private_data,single_judge,anthropic.claude-sonnet-4-20250514-v1:0,gpt-41-mini,22,0.748,0.823,0.855,0.809,+0.044,+0.018,+0.017,,,,,
model_summary,private_data,single_judge,anthropic.claude-sonnet-4-20250514-v1:0,gpt-5-mini,22,0.765,0.845,0.889,0.833,+0.041,-0.005,+0.020,,,,,
model_summary,private_data,single_judge,anthropic.claude-sonnet-4-20250514-v1:0,gpt-51,22,0.758,0.866,0.963,0.863,+0.058,-0.023,+0.006,,,,,
model_summary,private_data,single_judge,gpt-5-2025-08-07,gpt-41-mini,22,0.661,0.787,0.821,0.756,-0.043,-0.018,-0.017,,,,,
model_summary,private_data,single_judge,gpt-5-2025-08-07,gpt-5-mini,22,0.682,0.855,0.849,0.795,-0.042,+0.005,-0.020,,,,,
model_summary,private_data,single_judge,gpt-5-2025-08-07,gpt-51,22,0.641,0.911,0.951,0.834,-0.059,+0.022,-0.006,,,,,
model_summary,private_data,two_judge_avg,two_judge_avg,gpt-41-mini,22,0.704,0.805,0.838,0.782,,,,,,,,
model_summary,private_data,two_judge_avg,two_judge_avg,gpt-5-mini,22,0.724,0.850,0.869,0.814,,,,,,,,
model_summary,private_data,two_judge_avg,two_judge_avg,gpt-51,22,0.700,0.889,0.957,0.849,,,,,,,,
model_summary,whitehouse_press_briefings,single_judge,anthropic.claude-sonnet-4-20250514-v1:0,gpt-41-mini,57,0.530,0.840,0.827,0.733,+0.065,-0.001,+0.020,,,,,
model_summary,whitehouse_press_briefings,single_judge,anthropic.claude-sonnet-4-20250514-v1:0,gpt-5-mini,58,0.485,0.841,0.915,0.747,+0.045,-0.013,+0.029,,,,,
model_summary,whitehouse_press_briefings,single_judge,anthropic.claude-sonnet-4-20250514-v1:0,gpt-51,58,0.451,0.868,0.968,0.762,+0.031,-0.021,+0.005,,,,,
model_summary,whitehouse_press_briefings,single_judge,gpt-5-2025-08-07,gpt-41-mini,57,0.403,0.842,0.782,0.676,-0.062,+0.001,-0.025,,,,,
model_summary,whitehouse_press_briefings,single_judge,gpt-5-2025-08-07,gpt-5-mini,58,0.395,0.866,0.858,0.706,-0.045,+0.012,-0.028,,,,,
model_summary,whitehouse_press_briefings,single_judge,gpt-5-2025-08-07,gpt-51,58,0.389,0.910,0.958,0.752,-0.031,+0.021,-0.005,,,,,
model_summary,whitehouse_press_briefings,two_judge_avg,two_judge_avg,gpt-41-mini,58,0.465,0.841,0.807,0.705,,,,,,,,
model_summary,whitehouse_press_briefings,two_judge_avg,two_judge_avg,gpt-5-mini,58,0.440,0.854,0.886,0.727,,,,,,,,
model_summary,whitehouse_press_briefings,two_judge_avg,two_judge_avg,gpt-51,58,0.420,0.889,0.963,0.757,,,,,,,,
winner_summary,city_council,single_judge,anthropic.claude-sonnet-4-20250514-v1:0,,,,,,,,,,gpt-5-mini,gpt-51,gpt-51,gpt-51,minimal_single_vs_two_judge_ablation
winner_summary,city_council,single_judge,gpt-5-2025-08-07,,,,,,,,,,gpt-41-mini,gpt-51,gpt-51,gpt-51,minimal_single_vs_two_judge_ablation
winner_summary,city_council,two_judge_avg,two_judge_avg,,,,,,,,,,gpt-5-mini,gpt-51,gpt-51,gpt-51,minimal_single_vs_two_judge_ablation
winner_summary,private_data,single_judge,anthropic.claude-sonnet-4-20250514-v1:0,,,,,,,,,,gpt-5-mini,gpt-51,gpt-51,gpt-51,minimal_single_vs_two_judge_ablation
winner_summary,private_data,single_judge,gpt-5-2025-08-07,,,,,,,,,,gpt-5-mini,gpt-51,gpt-51,gpt-51,minimal_single_vs_two_judge_ablation
winner_summary,private_data,two_judge_avg,two_judge_avg,,,,,,,,,,gpt-5-mini,gpt-51,gpt-51,gpt-51,minimal_single_vs_two_judge_ablation
winner_summary,whitehouse_press_briefings,single_judge,anthropic.claude-sonnet-4-20250514-v1:0,,,,,,,,,,gpt-41-mini,gpt-51,gpt-51,gpt-51,minimal_single_vs_two_judge_ablation
winner_summary,whitehouse_press_briefings,single_judge,gpt-5-2025-08-07,,,,,,,,,,gpt-41-mini,gpt-51,gpt-51,gpt-51,minimal_single_vs_two_judge_ablation
winner_summary,whitehouse_press_briefings,two_judge_avg,two_judge_avg,,,,,,,,,,gpt-41-mini,gpt-51,gpt-51,gpt-51,minimal_single_vs_two_judge_ablation
